Precinct,Bedria Abdullahi,Marianne West,Michael Sanford,Amiya Ingram,Bill Hirt,Claudia Balducci,Derek Chartrand,Don L Rivers,Girmay Zahilay,John Wilson,Rebecca Williamson,Ahmad Corner,Angela Henderson,Kim-Khanh Van,Peter Kwon,Ryan McIrvin,Steffanie Fain
SET 33-1031,51,19,29,4,3,16,14,2,51,8,2,7,4,32,30,12,15
SET 33-3057,27,15,18,3,0,6,6,2,23,14,8,7,11,12,17,4,11
SET 33-3059,51,25,47,6,5,17,10,4,45,24,10,11,12,21,39,15,23
SET 33-3060,29,25,14,6,3,15,7,4,21,5,8,9,8,16,15,5,15
SET 33-3061,55,15,38,1,5,12,16,0,46,23,7,9,1,11,61,8,23
SET 33-3062,60,17,50,7,4,32,21,1,45,13,6,2,10,28,62,5,24
SET 33-3063,57,19,43,4,2,35,16,1,38,16,3,2,7,25,62,9,15
SET 33-3065,65,20,49,6,4,20,16,4,49,27,6,11,15,25,58,13,13
SET 33-3066,66,37,77,9,4,48,16,5,62,30,6,10,18,28,102,8,17
SET 33-3068,60,31,79,5,5,41,33,4,40,37,4,3,9,20,109,14,19
SET 33-3069,50,13,44,1,2,25,12,3,41,21,2,3,5,23,45,14,16
SET 33-3070,63,15,53,4,14,20,18,2,44,15,15,12,2,14,102,4,12
SET 33-3073,45,32,48,5,7,17,15,1,43,22,8,3,10,18,70,9,16
SET 33-3074,84,13,57,7,3,39,20,1,56,24,4,6,3,35,83,9,23
SET 33-3075,27,10,26,1,1,11,15,1,23,11,1,3,2,11,37,4,8
SET 33-3076,82,20,63,1,5,54,28,3,49,20,2,1,8,38,81,3,32
SET 33-3081,54,22,51,4,8,25,9,4,45,25,7,18,12,15,46,17,19
SET 33-3100,34,24,24,1,3,16,9,3,34,12,5,7,6,21,27,5,15
SET 33-3101,50,32,79,4,9,39,25,5,48,21,11,2,16,25,81,13,28
SET 33-3102,77,21,42,1,3,30,18,0,64,22,4,12,6,40,65,4,17
SET 33-3104,61,23,75,7,3,24,28,6,55,26,6,2,8,35,102,6,15
SET 33-3107,73,26,42,2,2,25,24,5,64,12,5,4,5,57,58,8,9
SET 33-3618,30,13,45,3,5,15,19,5,24,15,4,4,4,22,48,6,7
SET 33-3704,26,6,45,2,6,13,20,1,19,13,3,1,8,6,42,8,12
SET 33-3774,43,15,23,4,1,5,4,0,38,17,11,13,5,25,28,6,4
SET 33-3953,52,15,27,6,0,27,8,4,41,9,2,8,7,22,29,12,17
SET 33-3958,49,20,35,2,2,20,12,4,40,21,5,3,12,19,48,15,10
SET 33-3995,63,40,54,2,4,34,29,2,60,19,8,6,11,27,91,9,20
