CounterType,KCP1 Approved,KCP2 Rejected,Darryl Jones,Edwin Obras,Kevin Schilling
SET 33-1031,63,38,21,45,33
SET 33-3057,50,11,10,32,20
SET 33-3059,92,34,32,61,34
SET 33-3060,48,22,13,32,23
SET 33-3061,65,43,29,47,37
SET 33-3062,66,64,34,60,36
SET 33-3063,67,46,30,56,31
SET 33-3065,87,46,31,58,41
SET 33-3066,105,76,34,87,63
SET 33-3068,80,91,65,59,52
SET 33-3069,70,43,30,53,29
SET 33-3070,71,73,42,59,37
SET 33-3073,76,52,27,54,49
SET 33-3074,100,56,38,80,35
SET 33-3075,44,21,14,31,17
SET 33-3076,119,48,55,71,41
SET 33-3081,74,52,35,55,39
SET 33-3100,56,27,20,40,22
SET 33-3101,119,42,43,88,36
SET 33-3102,95,47,35,79,30
SET 33-3104,87,74,37,73,49
SET 33-3107,86,54,46,67,25
SET 33-3618,45,44,32,35,25
SET 33-3704,41,31,38,28,12
SET 33-3774,49,31,12,52,19
SET 33-3953,68,29,15,64,19
SET 33-3958,64,43,26,57,24
SET 33-3995,78,81,44,82,39
Grand Total,2065,1319,888,1605,917
